workerid,percentage_blue,rating,color,modal,Answer.misread_instructions,Answer.time_in_minutes,Answer.condition
0,0,10,orange,bare,0,4.037516666666667,might
0,10,0,orange,bare,0,4.037516666666667,might
0,25,0,orange,bare,0,4.037516666666667,might
0,40,0,orange,bare,0,4.037516666666667,might
0,50,0,orange,bare,0,4.037516666666667,might
0,60,0,orange,bare,0,4.037516666666667,might
0,75,0,orange,bare,0,4.037516666666667,might
0,90,0,orange,bare,0,4.037516666666667,might
0,100,0,orange,bare,0,4.037516666666667,might
0,0,0,blue,probably,0,4.037516666666667,might
0,10,0,blue,probably,0,4.037516666666667,might
0,25,0,blue,probably,0,4.037516666666667,might
0,40,0,blue,probably,0,4.037516666666667,might
0,50,0,blue,probably,0,4.037516666666667,might
0,60,0,blue,probably,0,4.037516666666667,might
0,75,0,blue,probably,0,4.037516666666667,might
0,90,10,blue,probably,0,4.037516666666667,might
0,100,0,blue,probably,0,4.037516666666667,might
0,0,0,orange,might,0,4.037516666666667,might
0,10,0,orange,might,0,4.037516666666667,might
0,25,0,orange,might,0,4.037516666666667,might
0,40,7,orange,might,0,4.037516666666667,might
0,50,3,orange,might,0,4.037516666666667,might
0,60,0,orange,might,0,4.037516666666667,might
0,75,0,orange,might,0,4.037516666666667,might
0,90,0,orange,might,0,4.037516666666667,might
0,100,0,orange,might,0,4.037516666666667,might
0,0,0,orange,probably,0,4.037516666666667,might
0,10,9,orange,probably,0,4.037516666666667,might
0,25,1,orange,probably,0,4.037516666666667,might
0,40,0,orange,probably,0,4.037516666666667,might
0,50,0,orange,probably,0,4.037516666666667,might
0,60,0,orange,probably,0,4.037516666666667,might
0,75,0,orange,probably,0,4.037516666666667,might
0,90,0,orange,probably,0,4.037516666666667,might
0,100,0,orange,probably,0,4.037516666666667,might
0,0,0,blue,might,0,4.037516666666667,might
0,10,0,blue,might,0,4.037516666666667,might
0,25,0,blue,might,0,4.037516666666667,might
0,40,0,blue,might,0,4.037516666666667,might
0,50,0,blue,might,0,4.037516666666667,might
0,60,7,blue,might,0,4.037516666666667,might
0,75,3,blue,might,0,4.037516666666667,might
0,90,0,blue,might,0,4.037516666666667,might
