Answer.condition,Answer.misread_instructions,workerid,rating,modal,Answer.time_in_minutes,color,percentage_blue
might,0,0,0,might,4.838866666666667,blue,0
might,0,0,0,might,4.838866666666667,blue,10
might,0,0,0,might,4.838866666666667,blue,25
might,0,0,2,might,4.838866666666667,blue,40
might,0,0,6,might,4.838866666666667,blue,50
might,0,0,2,might,4.838866666666667,blue,60
might,0,0,0,might,4.838866666666667,blue,75
might,0,0,0,might,4.838866666666667,blue,90
might,0,0,0,might,4.838866666666667,blue,100
might,0,0,0,probably,4.838866666666667,orange,0
might,0,0,8,probably,4.838866666666667,orange,10
might,0,0,2,probably,4.838866666666667,orange,25
might,0,0,0,probably,4.838866666666667,orange,40
might,0,0,0,probably,4.838866666666667,orange,50
might,0,0,0,probably,4.838866666666667,orange,60
might,0,0,0,probably,4.838866666666667,orange,75
might,0,0,0,probably,4.838866666666667,orange,90
might,0,0,0,probably,4.838866666666667,orange,100
might,0,0,0,probably,4.838866666666667,blue,0
might,0,0,0,probably,4.838866666666667,blue,10
might,0,0,0,probably,4.838866666666667,blue,25
might,0,0,0,probably,4.838866666666667,blue,40
might,0,0,0,probably,4.838866666666667,blue,50
might,0,0,0,probably,4.838866666666667,blue,60
might,0,0,2,probably,4.838866666666667,blue,75
might,0,0,8,probably,4.838866666666667,blue,90
might,0,0,0,probably,4.838866666666667,blue,100
might,0,0,0,might,4.838866666666667,orange,0
might,0,0,0,might,4.838866666666667,orange,10
might,0,0,0,might,4.838866666666667,orange,25
might,0,0,2,might,4.838866666666667,orange,40
might,0,0,6,might,4.838866666666667,orange,50
might,0,0,2,might,4.838866666666667,orange,60
might,0,0,0,might,4.838866666666667,orange,75
might,0,0,0,might,4.838866666666667,orange,90
might,0,0,0,might,4.838866666666667,orange,100
might,0,0,0,bare,4.838866666666667,blue,0
might,0,0,0,bare,4.838866666666667,blue,10
might,0,0,0,bare,4.838866666666667,blue,25
might,0,0,0,bare,4.838866666666667,blue,40
might,0,0,0,bare,4.838866666666667,blue,50
might,0,0,0,bare,4.838866666666667,blue,60
might,0,0,0,bare,4.838866666666667,blue,75
might,0,0,0,bare,4.838866666666667,blue,90
might,0,0,10,bare,4.838866666666667,blue,100
might,0,0,10,bare,4.838866666666667,orange,0
might,0,0,0,bare,4.838866666666667,orange,10
might,0,0,0,bare,4.838866666666667,orange,25
might,0,0,0,bare,4.838866666666667,orange,40
might,0,0,0,bare,4.838866666666667,orange,50
might,0,0,0,bare,4.838866666666667,orange,60
might,0,0,0,bare,4.838866666666667,orange,75
might,0,0,0,bare,4.838866666666667,orange,90
might,0,0,0,bare,4.838866666666667,orange,100
